

Effective Date,AB - COAL Generation Net MW,AB - HYDRO Generation Net MW,AB - Interchange MW,AB - Natural Gas Generation Net MW,AB - Other Generation Unit Net MW,AB - Wind Generation Unit Net MW
16-May-2020 00:00:00,2458.5,257,-390.25,4133.5833,267.1666,689.3333
16-May-2020 01:00:00,2397.25,219.5833,-235.8333,4140.25,265.9166,789.5833
16-May-2020 02:00:00,2258.5833,201.5,-214.1666,4145.0833,260.5833,893.25
16-May-2020 03:00:00,2071.25,211.6666,-227.25,4160,260.75,991.1666
16-May-2020 04:00:00,2064.5833,234,-262.25,4181.9166,259.4166,922
16-May-2020 05:00:00,2113.6666,244.0833,-236.3333,4182.8333,260.6666,847.75
16-May-2020 06:00:00,2188.9166,237.4166,-232.6666,4172.5833,266.25,763.3333
16-May-2020 07:00:00,2188.25,307.8333,-370.8333,4200.75,268.3333,685.4166
16-May-2020 08:00:00,2232.3333,284,-570.6666,4126.5833,276.4166,708.5833
16-May-2020 09:00:00,2156.1666,313.4166,-860.6666,4072.1666,283.75,705.0833
16-May-2020 10:00:00,2358.5,327.5,-748.5833,4085,288.9166,687.6666
16-May-2020 11:00:00,2265.8333,300,-898.25,4059.1666,288.5833,766.8333
16-May-2020 12:00:00,2235.25,293,-899.4166,4040.75,284.1666,875.9166
16-May-2020 13:00:00,2100.5,293.8333,-928.8333,3998.0833,284.1666,1021.75
16-May-2020 14:00:00,2030.1666,283.25,-887.5,3988.8333,277.3333,1127.6666
16-May-2020 15:00:00,2059.6666,319.25,-898.75,3913.5833,282.25,1144.1666
16-May-2020 16:00:00,2424.6666,309.5833,-632.8333,3987.6666,276.8333,1001.9166
16-May-2020 17:00:00,2669.1666,343.4166,-440.8333,3991.8333,275.1666,967.25
16-May-2020 18:00:00,2559,330.5,-552.6666,3992.4166,272.25,957.6666
16-May-2020 19:00:00,2441.3333,349.8333,-592.6666,4015.3333,269.1666,843.0833
16-May-2020 20:00:00,2447,295.4166,-602.1666,4005.4166,266,848.25
16-May-2020 21:00:00,2428.4166,296.75,-519.75,4074.0833,265.75,927.1666
16-May-2020 22:00:00,2348.8333,336.3333,-666.75,4105.4166,265.5,778.8333
16-May-2020 23:00:00,2381.25,229.5,-604.9166,4088.4166,262,720.5833
17-May-2020 00:00:00,2330.3333,214,-557.25,4099.5833,258.6666,614.5
17-May-2020 01:00:00,2122.5,195,-707.9166,4101.5833,257.9166,562.1666
17-May-2020 02:00:00,2083.5833,199.4166,-639.9166,4097.75,259.4166,574
17-May-2020 03:00:00,2167.5,231.9166,-454.5,4146.1666,258.4166,564.75
17-May-2020 04:00:00,2170.75,230.0833,-465.5,4169.4166,259.5,518.1666
17-May-2020 05:00:00,2213.75,224.1666,-486.9166,4161.5833,258.75,435.9166
17-May-2020 06:00:00,2249.0833,265.9166,-458.3333,4186.0833,259.9166,335
17-May-2020 07:00:00,2129.3333,307.1666,-774.5,4170.5,263.3333,202.8333
17-May-2020 08:00:00,2115.4166,325.5833,-1043.9166,4138.8333,268.4166,149.3333
17-May-2020 09:00:00,2315.1666,327.8333,-1075.75,4106.1666,268.3333,133.8333
17-May-2020 10:00:00,2497.0833,305,-1064.6666,4093.75,276,106.9166
17-May-2020 11:00:00,2675.8333,340.3333,-1040,4058.4166,274.1666,113.25
17-May-2020 12:00:00,2683.6666,284.75,-1035.5833,4106.6666,272.3333,194.5833
17-May-2020 13:00:00,2358.0833,280.0833,-977.9166,4401.3333,269.9166,307.6666
17-May-2020 14:00:00,2025.9166,311,-1058.4166,4426.6666,267,530.6666
17-May-2020 15:00:00,1939.3333,308.9166,-1067.25,4397.1666,270.4166,675.3333
17-May-2020 16:00:00,1922,360.8333,-1093.5833,4387.9166,269.3333,720.75
17-May-2020 17:00:00,2281.1666,316.25,-690.5833,4467.25,270.6666,724.6666
17-May-2020 18:00:00,2326.6666,363.5833,-685.4166,4478.25,272.1666,593
17-May-2020 19:00:00,2502.5833,364.75,-481.8333,4487.5833,269.6666,483.1666
17-May-2020 20:00:00,2572.6666,313.8333,-451.5833,4495.75,265.5833,430.6666
17-May-2020 21:00:00,2527.5833,272.1666,-546.1666,4504.6666,265.4166,426
17-May-2020 22:00:00,2414.75,292.0833,-575.6666,4526,269.25,469.1666
17-May-2020 23:00:00,2322.0833,224.6666,-577.3333,4498,268.4166,424.75
18-May-2020 00:00:00,2251.9166,232.25,-498.5833,4370.0833,268.1666,471.0833
18-May-2020 01:00:00,2026.4166,226.5833,-552.5,4334.8333,261.6666,563.9166
18-May-2020 02:00:00,1972.5,227.25,-577,4370.3333,263,452.8333
18-May-2020 03:00:00,1936.0833,236.0833,-586.8333,4406.5833,259.5,406.5833
18-May-2020 04:00:00,1943,243.6666,-554.1666,4391.5,256.5833,435.75
18-May-2020 05:00:00,1903.6666,215.0833,-623.1666,4340.75,256.8333,492
18-May-2020 06:00:00,1896.5833,278.5,-498.5833,4350.0833,260.75,567.0833
18-May-2020 07:00:00,1891.6666,346.1666,-785.3333,4094.6666,261.1666,617.9166
18-May-2020 08:00:00,1893.3333,330.1666,-1021.9166,4138.5,264.25,548.6666
18-May-2020 09:00:00,2222.8333,381.5,-534.3333,4466.6666,272.5833,419
18-May-2020 10:00:00,2304.6666,360.8333,-638.75,4474.9166,269,397.8333
18-May-2020 11:00:00,2404.1666,338.6666,-731.75,4463,275,349.25
18-May-2020 12:00:00,2502.1666,299.5833,-694.3333,4445.4166,273.6666,343.0833
18-May-2020 13:00:00,2575.5833,353.75,-638,4450.4166,270.75,310.0833
18-May-2020 14:00:00,2627.5,306.25,-690.0833,4417.1666,273,292.25
18-May-2020 15:00:00,2525.4166,316.6666,-904.25,4395.4166,280.6666,243.6666
18-May-2020 16:00:00,2500.25,301,-872,4536.5833,274.6666,240.75
18-May-2020 17:00:00,2573.75,363.9166,-786,4629.75,268.3333,214.6666
18-May-2020 18:00:00,2724.25,285.75,-464,4710.5833,271.0833,309.6666
18-May-2020 19:00:00,2425.5,296.9166,-541.8333,4638,269.25,470.6666
18-May-2020 20:00:00,2357.5833,340.5,-539.3333,4636.9166,268.75,417.6666
18-May-2020 21:00:00,2377.0833,291.0833,-526.0833,4431.3333,266.8333,645.3333
18-May-2020 22:00:00,2035.0833,327.0833,-687.75,4444.1666,264.1666,704.0833
18-May-2020 23:00:00,1899.75,243.25,-936.0833,4153.0833,259.4166,750.25
19-May-2020 00:00:00,1896.1666,242.8333,-808,4113.0833,260.1666,719.4166
19-May-2020 01:00:00,1891.1666,242.0833,-855.5833,4108.8333,260,566.75
19-May-2020 02:00:00,1889,214.5,-1010.5,3878.9166,261.6666,573.75
19-May-2020 03:00:00,1890.1666,225.1666,-1031.5,3870.4166,260,524.1666
19-May-2020 04:00:00,1890,230.1666,-1028.1666,3863.4166,261,560.5
19-May-2020 05:00:00,1889.9166,232.8333,-1002.6666,3825,264.9166,714.4166
19-May-2020 06:00:00,1901.5,277.5,-706.25,4244.6666,263.5,729.6666
19-May-2020 07:00:00,1897.0833,323.6666,-973.5,4233.4166,266,793.8333
19-May-2020 08:00:00,1933.8333,320.6666,-948.5833,4493.75,266.0833,797.5
19-May-2020 09:00:00,1988,317,-987.8333,4576.6666,267.9166,787.5833
19-May-2020 10:00:00,2012.8333,305.8333,-854.5,4807.4166,275.6666,737.3333
19-May-2020 11:00:00,2245.3333,339.0833,-751.3333,4845.3333,272.1666,584.3333
19-May-2020 12:00:00,2390.4166,323.5,-763.25,4833.0833,269.5833,482.4166
19-May-2020 13:00:00,2606.0833,314.8333,-782.4166,4680.9166,271.3333,410.6666
19-May-2020 14:00:00,2464.3333,291.6666,-817.4166,4870.75,282.4166,298.6666
19-May-2020 15:00:00,2495.0833,330.5833,-811.4166,4816.25,279.25,247.5833
19-May-2020 16:00:00,2584.8333,331.1666,-823.25,4781.0833,277.9166,196.8333
19-May-2020 17:00:00,2588.75,299.8333,-889.6666,4766.25,277,214
19-May-2020 18:00:00,2414.6666,311.5833,-841.0833,4803.5,278.0833,191.1666
19-May-2020 19:00:00,2445.3333,330.0833,-602.25,4821.6666,278.75,192.6666
19-May-2020 20:00:00,2473.5,313.5833,-573.6666,4790.0833,268.6666,162
19-May-2020 21:00:00,2417.9166,296.0833,-707.4166,4708.9166,263,140.5833
19-May-2020 22:00:00,2323.1666,296,-766.3333,4716.1666,263.3333,146.9166
19-May-2020 23:00:00,2102.4166,229.1666,-874.8333,4647.6666,260.75,164.5
20-May-2020 00:00:00,1974.4166,210.1666,-936.8333,4571.5833,260.5,158.6666
20-May-2020 01:00:00,1898.75,217.3333,-1050.5833,4423.3333,259.75,156.3333
20-May-2020 02:00:00,1902,218.5,-1059.8333,4284.4166,261.5833,202.9166
20-May-2020 03:00:00,1901.4166,232.5,-1052.1666,4216.3333,259.0833,239.5833
20-May-2020 04:00:00,1899.4166,235.4166,-1060.9166,4313.4166,261,152.5833
20-May-2020 05:00:00,1902.4166,240.4166,-1065.5,4327.75,259.6666,170.1666
20-May-2020 06:00:00,1920.75,249.5833,-895.25,4558.0833,260.0833,251.3333
20-May-2020 07:00:00,1883.0833,327,-1093.6666,4613.3333,263.3333,299.9166
20-May-2020 08:00:00,2024.0833,309.9166,-1088,4751.8333,261.5833,300.4166
20-May-2020 09:00:00,2059.25,323,-1068.0833,4949.3333,265.1666,239.4166
20-May-2020 10:00:00,2364.4166,329.5833,-911.0833,4921.0833,262.25,227.3333
20-May-2020 11:00:00,2524.8333,262.75,-886.9166,4902.4166,263.3333,232.25
20-May-2020 12:00:00,2440.8333,264,-875.8333,4854.9166,264.8333,331.8333
20-May-2020 13:00:00,2398.0833,264.8333,-794.3333,4769.4166,270,519.3333
20-May-2020 14:00:00,2406.5833,322.75,-805.25,4726.3333,268.25,450.25
20-May-2020 15:00:00,2532.1666,311.0833,-795.75,4544.5,265.5,521.4166
20-May-2020 16:00:00,2566.75,343,-814.75,4614.8333,264.8333,422.5
20-May-2020 17:00:00,2425.0833,283.25,-755.4166,4796.0833,262,447.9166
20-May-2020 18:00:00,2253.6666,315.4166,-815.6666,4863.3333,264.0833,356.1666
20-May-2020 19:00:00,2274.6666,354,-741,4828.75,265,291.25
20-May-2020 20:00:00,2280.4166,293.8333,-733.8333,4795.25,266.0833,319.0833
20-May-2020 21:00:00,2239,312.0833,-752.9166,4829.1666,265.0833,278.8333
20-May-2020 22:00:00,2038.3333,257.3333,-914.1666,4877.4166,263.5,229.25
20-May-2020 23:00:00,1965,231.1666,-833.1666,4816.6666,260.5833,237.3333
21-May-2020 00:00:00,1904.4166,219,-1043.8333,4363.75,265.8333,342.5
21-May-2020 01:00:00,1904.5833,206.5,-1071.5,4191,265.5,375.0833
21-May-2020 02:00:00,1906.25,210.5833,-1032.0833,4075.3333,266.3333,480.0833
21-May-2020 03:00:00,1843.3333,208.9166,-1044.1666,4069.75,265.5833,535.4166
21-May-2020 04:00:00,1832,231.5,-1023.25,4082.9166,265.1666,541.0833
21-May-2020 05:00:00,1891.8333,266.5833,-964.4166,4174.5,262.5833,459.5833
21-May-2020 06:00:00,1886.8333,236.3333,-913.75,4476,262.8333,447.4166
21-May-2020 07:00:00,2050.8333,295.5833,-606.1666,4840.5833,261.6666,514.3333
21-May-2020 08:00:00,2136.75,268.0833,-867.5833,4918.8333,261.9166,470.25
21-May-2020 09:00:00,1843.5833,278.5833,-874.5833,5083.1666,260.8333,668.3333
21-May-2020 10:00:00,1828.0833,333.3333,-863.8333,5045.25,262.5833,765.8333
21-May-2020 11:00:00,1927.4166,356.8333,-842.9166,4950.5833,262.5833,852.4166
21-May-2020 12:00:00,1902,285.5,-798.9166,4991.8333,257.6666,982.3333
21-May-2020 13:00:00,1693.75,264.5833,-858.25,5067.25,256.3333,1069.75
21-May-2020 14:00:00,1556,264.25,-857.4166,5082.3333,247.9166,1163.5833
21-May-2020 15:00:00,1440,268.75,-867.0833,5003.4166,249.5833,1299.9166
21-May-2020 16:00:00,1432.5,315.3333,-913.75,4833.3333,252.75,1394.3333
21-May-2020 17:00:00,1435.5,333.5,-869.3333,4941.5833,253.4166,1307.3333
21-May-2020 18:00:00,1431.3333,357.25,-835.0833,4881.25,255.5833,1211.6666
21-May-2020 19:00:00,1761.3333,372.25,-523.3333,4820.75,256,1107.5833
21-May-2020 20:00:00,1808.25,309.1666,-563.0833,4739.8333,259.3333,1069
21-May-2020 21:00:00,1609,286.0833,-527.6666,4917.3333,261.4166,1081.0833
21-May-2020 22:00:00,1439.5833,265.0833,-660.75,4796.5833,262.9166,1068.8333
21-May-2020 23:00:00,1428.9166,215.75,-777.9166,4454.4166,261.8333,1090.3333
22-May-2020 00:00:00,1429.1666,211.3333,-837.25,4139.4166,261.4166,1141.4166
22-May-2020 01:00:00,1426.75,217.1666,-614.6666,4164.25,262.3333,1222.0833
22-May-2020 02:00:00,1428.1666,226.4166,-494.6666,4174.6666,262.75,1249.5
22-May-2020 03:00:00,1427.3333,228.8333,-429.5833,4188.4166,258.9166,1274.4166
22-May-2020 04:00:00,1428.5,262.3333,-389.3333,4219.1666,258.5833,1268.9166
22-May-2020 05:00:00,1430.5,260.8333,-485.5833,4216.8333,259.1666,1259.4166
22-May-2020 06:00:00,1430.0833,305.25,-725.6666,4232.4166,259.9166,1178.5
22-May-2020 07:00:00,1431.8333,290.8333,-888.75,4462.1666,261.75,1135.9166
22-May-2020 08:00:00,1430.8333,320.0833,-898.6666,4791.25,262.75,1076.3333
22-May-2020 09:00:00,1432.3333,295.5,-866.9166,4915.4166,262.0833,1169.0833
22-May-2020 10:00:00,1442.5833,331.75,-836.5833,5024.4166,267.4166,1177.3333
22-May-2020 11:00:00,1542.9166,341.8333,-821.4166,5066.75,271.4166,1109.3333
22-May-2020 12:00:00,1547.5,293.3333,-806.8333,5033.5833,272.5,1164.5833
22-May-2020 13:00:00,1541.6666,315.8333,-820.9166,5025.25,277.6666,1122.3333
22-May-2020 14:00:00,1510.8333,320.5833,-871.5,4982.3333,273.25,1130.4166
22-May-2020 15:00:00,1435.1666,325.8333,-949.5833,4960,276.25,1141
22-May-2020 16:00:00,1465.1666,311.8333,-965.1666,4959.1666,274.5,1163.6666
22-May-2020 17:00:00,1428.1666,321.25,-972.5833,4861.4166,272.3333,1248.8333
22-May-2020 18:00:00,1429.6666,302,-941.8333,4667.8333,265,1325.3333
22-May-2020 19:00:00,1436.75,317.9166,-968.6666,4449.25,261,1388.5
22-May-2020 20:00:00,1449,323.6666,-1015,4406.5,260.25,1321.75
22-May-2020 21:00:00,1561.5833,360.6666,-1029.9166,4617.3333,259.5833,940.0833
22-May-2020 22:00:00,1675.3333,345.9166,-940.0833,4772.25,260.25,643.3333
22-May-2020 23:00:00,1754,270.75,-923.0833,4653.9166,261.6666,501.0833
23-May-2020 00:00:00,1663.75,235.4166,-987,4561.9166,261.0833,429.4166
23-May-2020 01:00:00,1552,226.8333,-1006.4166,4544.1666,260.8333,411
23-May-2020 02:00:00,1459.75,215.8333,-999.5,4506.25,262.4166,465.5
23-May-2020 03:00:00,1434.5,229.4166,-947.1666,4440.9166,261.75,471.9166
23-May-2020 04:00:00,1433.75,222.4166,-970.25,4431,262.25,434.6666
23-May-2020 05:00:00,1435.6666,231.8333,-938.9166,4442.75,262.3333,425.4166
23-May-2020 06:00:00,1433.25,235.1666,-947.5833,4415,262.9166,452.75
23-May-2020 07:00:00,1433.4166,300.3333,-906.6666,4578.0833,267.4166,419.9166
23-May-2020 08:00:00,1434.1666,343.75,-914.0833,4799.3333,273.25,347
23-May-2020 09:00:00,1522.5833,342.4166,-855.5833,5067.3333,279.0833,315.6666
23-May-2020 10:00:00,1708.5833,356.5833,-788.9166,5076.8333,281.75,297.6666
23-May-2020 11:00:00,1797.6666,353,-824.5,5075.5833,277.75,298.8333
23-May-2020 12:00:00,1871.3333,343.3333,-834.5833,5029.8333,273.4166,284.9166
23-May-2020 13:00:00,1766.6666,348.9166,-848.9166,5037.8333,272.75,300
23-May-2020 14:00:00,1695.75,356.5833,-867.6666,5067.9166,279.0833,243.6666
23-May-2020 15:00:00,1627.75,377.5833,-887.0833,5074.5,272.9166,245.3333
23-May-2020 16:00:00,1685.5,386,-943.9166,5017.8333,272.8333,199.5
23-May-2020 17:00:00,1965.8333,407.5,-666.3333,5071.4166,271.75,143.5
23-May-2020 18:00:00,2172.4166,375.5,-562.6666,5060.8333,269.0833,98.1666
23-May-2020 19:00:00,2081.3333,377.75,-546.4166,5073.5833,273.25,61.0833
23-May-2020 20:00:00,2129.6666,334.5,-563.5833,5082.6666,269,25.8333
23-May-2020 21:00:00,2093.9166,318.25,-572.6666,5115.25,266.3333,15.25
23-May-2020 22:00:00,1948.5833,292.5833,-713.25,5128.75,264.3333,36.4166
23-May-2020 23:00:00,2018.5,224.0833,-685.25,4897.6666,262.8333,109.25
24-May-2020 00:00:00,1680,211.5,-1005.1666,4699.75,256.0833,165
24-May-2020 01:00:00,1473.0833,227.75,-1061.75,4633.3333,253.5,242.5
24-May-2020 02:00:00,1397.6666,223.25,-1103.75,4442.9166,253.5833,388.25
24-May-2020 03:00:00,1353.75,238.4166,-1056.4166,4415.5833,253.5833,464.25
24-May-2020 04:00:00,1343.8333,265.25,-1100.5,4362.5833,256,461
24-May-2020 05:00:00,1342.6666,262.1666,-1024.25,4381.6666,253.9166,457.75
24-May-2020 06:00:00,1339.1666,244.1666,-1019.3333,4344.8333,256.5833,488.3333
24-May-2020 07:00:00,1435.4166,324.9166,-1060.4166,4214.8333,263.5,508.0833
24-May-2020 08:00:00,1474.0833,353.8333,-1021.3333,4403.5,271.8333,463.6666
24-May-2020 09:00:00,1491.3333,358.3333,-1014.5,4606.0833,273.75,431.5833
24-May-2020 10:00:00,1568.9166,348.25,-991.5,4835.5,274.1666,262.6666
24-May-2020 11:00:00,1799.1666,384.5833,-937.6666,4879.6666,273.4166,97.25
24-May-2020 12:00:00,1929.6666,389.0833,-940.5833,4844.1666,274.0833,78.0833
24-May-2020 13:00:00,1906.8333,363.4166,-967.3333,4798.0833,273,98.5
24-May-2020 14:00:00,1833.75,354,-955.8333,4783.75,272.5833,186.3333
24-May-2020 15:00:00,1718.1666,330,-947.5833,4769.1666,272.4166,348.4166
24-May-2020 16:00:00,1648.0833,371.3333,-992.4166,4770.75,267.3333,403.3333
24-May-2020 17:00:00,1831.3333,437.5,-914.4166,4707.5833,264.3333,407.9166
24-May-2020 18:00:00,2153.8333,393.5833,-538.1666,4767.5833,261.25,435.6666
24-May-2020 19:00:00,2055.4166,372.6666,-578.5,4806.6666,259.3333,440.6666
24-May-2020 20:00:00,2020.0833,313.25,-536.9166,4811.9166,251.75,499.9166
24-May-2020 21:00:00,1892,318.5,-523.5,4830.8333,250.9166,590.0833
24-May-2020 22:00:00,1735.0833,268.5,-511.8333,4839.6666,248.8333,800.8333
24-May-2020 23:00:00,1654.8333,213,-512.25,4645.3333,251,880.4166
25-May-2020 00:00:00,1556.9166,257.25,-808,4118.3333,248.5833,965.5833
25-May-2020 01:00:00,1542.5,242.6666,-874.9166,3990.3333,251.3333,925.1666
25-May-2020 02:00:00,1544.4166,260.3333,-820.1666,3940.25,250.1666,925.5
25-May-2020 03:00:00,1551.8333,301,-822.8333,3899.3333,247.75,927.9166
25-May-2020 04:00:00,1445.6666,263.75,-754.75,4081.5833,249.5833,938.8333
25-May-2020 05:00:00,1437,255.0833,-761.5833,4161.0833,252.0833,801.1666
25-May-2020 06:00:00,1436,315.0833,-770,4345.9166,251.4166,782.8333
